##Falco	1.3.0
>>Basic Statistics	pass
#Measure	Value
Filename	forward
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	8802179
Total Bases	1320 Mbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	56.5
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1102	30	-0.0631857030665302
1102	31	0.0094126282042879
1102	32	-0.0031671066919543
1102	33	0.0534235359360338
1102	34	-0.0967993866292218
1102	35	0.0403839975902685
1102	36	-0.019425669395126
1102	37	-0.0509111805257305
1102	38	-0.0821384588817793
1102	39	-0.0164989215481555
1102	40	-0.0894453264573514
1102	41	-0.0876964828341116
1102	42	-0.126299839409619
1102	43	-0.00113754103063712
1102	44	-0.236204444136668
1102	45	-0.102118310464
1102	46	-0.0804006533298889
1102	47	-0.220997674078262
1102	48	-0.01316773489377
1102	49	-0.175028251007653
1102	50	-0.137404629772504
1102	51	-0.0580519670850137
1102	52	-0.0650055130970628
1102	53	-0.146205355068027
1102	54	-0.15643474891241
1102	55	-0.0243929499696236
1102	56	-0.130254038049252
1102	57	-0.0665011201254089
1102	58	-0.06846580645621
1102	59	0.00543178972812797
1102	60	0.0736149053674495
1102	61	-0.0778854770791284
1102	62	-0.0428920862373161
1102	63	0.110992732637101
1102	64	-0.062124408643399
1102	65	-0.0265498472072707
1102	66	-0.0265272352985306
1102	67	0.0736827604587234
1102	68	-0.127624298236867
1102	69	-0.0483548793904163
1102	70	-0.0772567201327661
1102	71	-0.162852154497266
1102	72	0.169301654404208
1102	73	0.0134624643089509
1102	74	-0.0814666276370843
1102	75	-0.161285897357246
1102	76	-0.220598502561039
1102	77	-0.0297447362729741
1102	78	-0.0365871657000696
1102	79	-0.201521797596008
1102	80	-0.0516012019956236
1102	81	-0.0899513929813622
1102	82	-0.0727270700398819
1102	83	-0.116096814291254
1102	84	-0.300197598260269
1102	85	-0.345905380309716
1102	86	-0.27379174301656
1102	87	-0.217367168494825
1102	88	-0.0285204398745051
1102	89	-0.163888777862674
1102	90	-0.289050353280253
1102	91	-0.179687156270582
1102	92	-0.109248988473723
1102	93	-0.165752888643908
1102	94	-0.0233157181206565
1102	95	-0.0768500091609496
1102	96	-0.15713848082882
1102	97	0.131973388720432
1102	98	-0.107615644388922
1102	99	-0.279293892380792
1102	100	0.00754581277283251
1102	101	0.0662392531788143
1102	102	-0.231200008510285
1102	103	-0.0609009449415367
1102	104	0.144882587454056
1102	105	0.0139495143661748
1102	106	-0.00076172374860306
1102	107	-0.0156436646686089
1102	108	-0.136750130236329
1102	109	-0.131167854802086
1102	110	-0.142628058152532
1102	111	0.0796251868597011
1102	112	0.0117254591786065
1102	113	-0.0184510335146371
1102	114	-0.095287383869163
1102	115	0.0638531707227941
1102	116	0.00139188788769218
1102	117	-0.150356179843051
1102	118	0.0130192566965306
1102	119	0.172644188970544
1102	120	-0.0515793065932613
1102	121	-0.102775321000024
1102	122	-0.00156544380844537
1102	123	-0.120750090783297
1102	124	-0.121101140182425
1102	125	0.0320543332860339
1102	126	-0.068706791437414
1102	127	-0.0474284753632332
1102	128	-0.0679012962491328
1102	129	-0.102631851892475
1102	130	-0.122554299048645
1102	131	-0.059255097497541
1102	132	0.0102518831078839
1102	133	0.0809147434344268
1102	134	-0.159835798166945
1102	135	-0.138352554811313
1102	136	-0.0849709312713642
1102	137	-0.112271909551744
1102	138	-0.100826927120742
1102	139	-0.113148984373503
1102	140	-0.118834572282609
1102	141	0.0300130905071256
1102	142	-0.105363613177232
1102	143	-0.170253659010918
1102	144	-0.04733016552305
1102	145	-0.191774251068793
1102	146	0.0854334587361478
1102	147	-0.0396573568345389
1102	148	-0.0127812732961416
1102	149	-0.099214310081031
1102	150	-0.185166493620692
1103	1	-0.494404827088161
1103	2	-0.25579219381838
1103	3	0.0367573906167991
1103	4	-0.0956815128611765
1103	5	0.0582548038852764
1103	6	-0.0609010839781448
1103	7	0.0164724004403283
